States,Median Household Income,Total population,Total population-AGE-Under 5 years,Total population-AGE-5 to 9 years,Total population-AGE-10 to 14 years,Total population-AGE-15 to 19 years,Total population-AGE-20 to 24 years,Total population-AGE-25 to 29 years,Total population-AGE-30 to 34 years,Total population-AGE-35 to 39 years,Total population-AGE-40 to 44 years,Total population-AGE-45 to 49 years,Total population-AGE-50 to 54 years,Total population-AGE-55 to 59 years,Total population-AGE-60 to 64 years,Total population-AGE-65 to 69 years,Total population-AGE-70 to 74 years,Total population-AGE-75 to 79 years,Total population-AGE-80 to 84 years,Total population-AGE-85 years and over,Estimate-Male-Total population,Estimate-Female-Total population,Real GDP (2017),Total population in poverty status,Population for whom poverty status is determined!!AGE!!Under 18 years,Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years,Population for whom poverty status is determined!!AGE!!18 to 64 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years,Population for whom poverty status is determined!!AGE!!60 years and over,Population for whom poverty status is determined!!AGE!!65 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work,Electric (EV),Hybrid Electric (HEV),Gasoline,Diesel,Number of public airports,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
Rhode Island,108023,1093734,51955,53959,59764,73740,76125,72475,78504,72105,65817,60238,68957,73528,80450,67053,53342,38563,23666,23493,535841,557893,62190.9,113878,23487,18370,65824,28324,37500,32714,24567,76281,18947,29180,17192,10962,64456,4300,18600,782500,11200,6,5133075,948465,1172763
South Carolina,88704,5282634,281426,309601,327157,347645,351883,318472,345190,327781,340139,300228,330117,326972,367405,324744,283274,193003,115311,92286,2569909,2712725,250873.4,717348,211202,154804,402549,170393,232156,151287,103597,417709,95644,157062,111702,53301,321020,13500,66800,4254700,107600,57,60307732,11213359,4443270
South Dakota,90806,909824,57246,59977,63989,62422,60455,55932,55220,55698,60333,49990,47030,51885,63738,56436,45126,27643,17433,19271,462457,447367,54959.3,109889,32473,22387,60179,30670,29509,23513,17237,59917,10930,24559,16037,8391,46837,1200,10300,739400,53000,71,17828027,2419809,1077229
Tennessee,89799,7051339,402215,422122,439813,446948,472131,471280,492908,458980,450035,417500,450229,449565,459649,399555,329988,233975,137964,116482,3462618,3588721,412101.3,915683,266105,187143,519031,230139,288892,189466,130547,538210,125505,222830,129947,59928,422148,22000,94000,5536100,157700,75,76383941,19950479,8467001
Texas,101738,30029572,1881718,2070802,2173132,2160735,2145802,2124620,2204737,2142529,2096393,1860639,1827226,1641396,1662758,1375570,1085585,747528,444397,384005,15021141,15008431,1924007.5,4113641,1411535,1022291,2216792,1087679,1129113,682643,485314,2154261,622320,689749,536718,305474,1625868,149000,361800,21065800,771000,287,340527566,79300028,43169068
Utah,114044,3380800,228464,253833,278120,277956,299515,253050,241726,226927,234290,200039,173156,149430,160595,136078,109538,74988,45152,37943,1716117,1664683,213898.3,273052,77607,54341,165739,101494,64245,41404,29706,132061,18825,41670,43863,27703,93694,28000,69300,2454700,155000,50,40786835,11517278,6334651
Vermont,97261,647064,27875,30605,34125,43011,43805,37755,39760,41236,38943,35136,40657,41144,53185,46381,37179,25232,17682,13353,320698,326366,34609.4,65162,13062,8750,41352,19485,21867,16335,10748,42006,7052,14836,11646,8472,30490,5300,17800,501500,14700,11,5556375,799661,664301
Virginia,119058,8683619,481682,507493,544175,569202,602285,556228,600394,593151,587669,518644,549626,557202,553826,468083,390636,283555,169820,149948,4299314,4384305,576964.3,891390,233581,164890,532805,251087,281718,182442,125004,516217,113936,180066,137685,84530,408135,56600,198400,6643300,153700,52,96179389,20054381,8856078
Washington,125847,7785786,421722,464035,473406,457060,499354,561477,614820,589210,526428,463748,473087,451753,480544,426872,359449,248123,142675,132023,3930411,3855375,641143.6,763469,184816,140042,459268,201414,257854,170265,119385,482814,85913,144722,160314,91865,382296,104100,270200,5650700,277400,98,70449322,9609560,17535306
West Virginia,75265,1775156,87469,96217,102819,111760,114325,102223,104869,100477,116189,105518,116477,114295,126356,119451,105223,68910,46114,36464,882101,893055,76525.5,308825,86400,60647,178196,78110,100086,62751,44229,184845,43717,82581,41059,17488,158006,1900,18300,1267500,45700,25,24967995,3063673,754139
Wisconsin,94085,5892539,309244,333686,369101,385002,407006,366161,367568,376608,366385,328127,364381,392381,424503,368769,289697,199492,125211,119217,2958771,2933768,335688.5,617037,155879,113801,358199,177228,180971,144000,102959,358050,58586,146808,100110,52546,272279,15700,105200,4577400,144500,96,88456343,12245382,6376683
Wyoming,90018,581381,30444,37271,38701,38287,36882,34971,37463,42391,39216,30529,33832,35054,38352,39086,29291,19540,11990,8081,297855,283526,37294.2,66943,17918,12895,38690,17269,21421,14027,10335,37668,4691,13067,14733,5177,26300,800,6900,483000,61200,40,13511687,1791666,848615
